beseda,sentiment
gem,-2
gen,1
generacija,1
generacijski,0
general,0
generalen,0
generalka,1
generalski,-2
generalštab,0
generator,0
generičen,2
generika,0
generiran,0
generiranje,0
generirati,0
genetski,2
genialen,-2
genij,3
genius loci,-1
genocid,0
genociden,0
genom,1
genotip,-1
genotoksičnost,-5
genski,3
geodet,-2
geodetski,0
geodezija,0
geofizikalen,2
geograf,2
geografija,2
geografski,2
geolog,0
geologija,-1
geološki,1
geomehanski,2
geometričen,3
geometrija,3
geometrijski,0
geoplin,0
geopolitičen,0
geostrateški,1
geotehnika,0
geotermalen,2
geo...,0
gepard,3
geranija,-2
gerebica,-1
germ,0
geslo,0
gesta,2
gestapovski,-2
getoizacija,-2
gez,3
gib,1
gibalen,3
gibalo,0
gibanje,0
gibati,0
gibljaj,0
gibljiv,0
gibraltarski,0
gica,-1
gigadžul,-1
gigant,0
gigantski,3
gigavat,2
gigavaten,3
giga...,1
giljotina,-2
gimnastičen,-2
gimnazija,0
gimnazijec,0
gin,-1
gina,0
ginekolog,0
ginekologija,4
ginekologinja,5
ginekološki,3
gip,-2
girica,2
girlanda,3
gladek,2
gladiatorka,2
gladilo,3
gladina,0
gladko...,1
gladovati,0
gladoven,0
glagol,-1
glamur,3
glamurozen,3
glas,0
glasba,1
glasben,1
glasbenica,2
glasbenik,1
glasen,-1
glasilo,0
glasiti,1
glasovalec,0
glasovalen,0
glasovanje,0
glasovati,0
glasoven,2
glasovnica,0
glasujoč,0
glava,-1
glavač,-1
glavačev,1
glavan,1
glavar,-1
glavarina,0
glaven,0
glavica,1
glavič,0
glavina,-2
glavnica,0
glavniček,-2
glavnina,1
glavobol,-2
glazija,3
glazura,0
glažar,0
gled,0
gledalec,2
gledališče,1
gledališki,3
gledanje,-1
gledanost,1
gledati,0
glede,0
gledišče,-1
glen,1
gleženj,-2
gliha,-2
glikozid,0
glin,-1
glinica,-2
gliser,2
gliva,0
glivec,-1
glivica,-4
glivičen,-1
globa,-1
global,0
globalen,0
globalizacija,0
globalizacijski,0
globaliziran,0
globalizirati,-1
globalno,1
globati,-1
globina,0
globinski,3
globok,-1
globoko,-1
globokomorski,-1
globus,0
glodanje,-2
glodavec,-3
glos,2
glotis,-1
gluh,0
gluhonem,-4
gmajna,0
gmajnica,-2
gmota,0
gmoten,-1
gnati,0
gneča,0
gnesti,0
gneten,0
gnetenje,-1
gnetilen,2
gnezdeč,-2
gnezdilka,-2
gnezditi,0
gnezdo,0
gnidovec,0
gniloba,-2
gniti,-3
gnitje,2
gnjaviti,-1
gnoj,0
gnojenje,0
gnojevka,-1
gnojilo,0
gnojnica,-1
gnusen,-1
go,-1
goba,-1
gobar,0
gobarjenje,-2
gobarski,0
gobček,-5
gobec,-1
god,0
godalec,0
godalen,0
godba,1
godben,3
godbeništvo,3
godčev,0
godec,0
godina,2
goditi,-1
goditi,-1
godovanje,3
gof,3
gojen,2
gojenje,-1
gojišče,1
gojitelj,2
gojiti,1
gol,0
golaž,3
gold.,0
golec,0
golf,2
golfist,-2
golfklub,0
golfov,3
golfski,-2
goličnik,0
golja,0
goljat,0
goljuf,-3
goljufanje,-1
goljufati,-2
goljufija,-2
goljufiv,-2
golob,0
golobica,0
golobič,0
golobov,-1
golota,3
golovec,0
golo...,0
gomila,0
gondola,-2
gondolski,-1
gonilen,2
gonilo,1
goniti,3
gonja,-1
goodyear,0
gor,0
gora,0
gorca,-1
gorčica,1
gordijski,0
gordon,0
gore,1
goreč,0
gorenje,0
gorenji,0
gorenjka,3
gorenjski,0
goreti,0
gori,-1
gorica,0
goričan,2
gorila,2
gorilen,-1
gorilnik,1
goriški,0
goriven,2
gorivo,0
gorjanski,3
gorje,2
gorjup,0
gorljiv,0
gornik,-2
gornja,-5
gornjegrajski,-2
gornjeradgonski,0
gornjesavski,-1
gornje...,-1
gornji,0
gorovje,3
gorski,1
goršek,0
gosak,0
gosenica,-1
gospa,-1
gospod,-1
gospodar,0
gospodaren,1
gospodariti,-1
gospodarjenje,-1
gospodarnost,0
gospodarski,0
gospodarstvenik,0
gospodarstvo,0
gospodična,0
gospodinja,1
gospodinjski,0
gospodinjstvo,0
gospodov,3
gosposki,-1
gosposvetski,0
gosp.,-1
gost,1
gostilna,1
gostilničar,3
gostinec,0
gostinski,-1
gostinstvo,0
gostišče,0
gostitelj,1
gostiteljica,2
gostiteljstvo,0
gostiti,1
gostja,1
gostoljuben,4
gostota,1
gostovanje,1
gostovati,0
gosto...,1
gostujoč,1
gošča,0
goščava,-1
got,3
gotenski,0
gotov,-1
gotovina,0
gotovinski,0
gotovo,0
gotovost,-1
govedina,0
govedo,-1
govedoreja,0
govedorejec,0
goveji,0
govor,0
govorec,0
govoren,0
govorica,-1
govorilen,0
govorilnica,-1
govoriti,0
govorjenje,-1
govornik,1
govorniški,-1
govornost,-2
gozd,0
gozdar,0
gozdarski,0
gozdarstvo,0
gozden,0
gozdiček,-2
gozdnat,2
gozdno...,2
grabec,0
graben,0
grabiti,0
grad,0
gradben,0
gradbenik,0
gradbeniški,-1
gradbeništvo,-1
gradbinec,-1
gradbinka,2
gradbišče,-1
gradec,0
gradis,-1
gradiščanski,-3
gradišče,0
graditelj,0
graditev,0
graditi,0
gradivo,0
gradnik,3
gradnja,0
graduacija,0
gradualist,0
gradualizem,0
graf,0
grafen,3
grafičen,2
grafika,0
grafikon,0
grafit,1
grafitar,2
grafitiranje,-2
grafolog,0
grafološki,0
grafoskop,-2
grah,4
graham,0
grahek,-1
graj,-1
graja,-1
grajati,-2
grajenje,1
grajski,3
gram,0
gramofon,1
gramoz,-2
gramski,1
gram...,0
gran,3
granata,-2
grand,1
grandiozen,3
grand hotel,0
grand prix,2
granit,0
graniten,-2
granulat,-3
grapa,3
graščina,2
graški,-1
gray,-1
grb,3
grbavec,3
grbec,0
grbina,-1
grč,-2
grča,0
grd,-2
greben,-1
grebsti,1
gred,2
greda,3
gregor,0
gregorček,0
gregorijanski,1
greh,-2
grelec,3
grelnik,2
gremij,0
grenek,-1
greniti,-1
grenivka,0
grenkoba,-2
grešen,-1
grešiti,-1
grešnica,-1
grešnik,-1
greti,1
gretje,2
greznica,1
grič,2
griček,2
gričevje,4
gril,-1
grill,0
grilov,-2
grip,-5
gripa,-1
gripozen,0
gristi,-2
grivar,0
grizač,4
grizlijev,-1
griža,0
grk,0
grlo,-1
grm,1
grmada,3
grmek,0
grmeti,3
grmičevje,-1
grmov,-1
grmovje,-1
grob,-1
grobar,-1
groben,-2
grobišče,0
grobnik,0
grodelj,2
grof,0
gromozanski,-1
gros,0
grosist,0
grosističen,-1
grosupeljski,-1
grotesken,3
groza,-3
grozd,1
grozdje,2
grozen,-2
grozilen,-2
groziti,-2
grozljiv,-1
grozljivka,-2
grozota,0
grozovitost,0
groženje,0
grožnja,-1
grščina,1
grški,-1
gruča,3
gruden,0
grudnov,0
grum,1
grunt,-2
grupa,1
grupacija,0
gruzijski,-1
gr.,0
guan,-1
guba,0
gubanec,-1
gubec,3
gubiti,-5
guček,0
guess,-2
guma,-1
gumarski,0
gumarstvo,0
gumb,2
gumen,-3
gumi,-1
gumija,-3
gumijast,-1
gumijev,-2
guna,-2
guncati,-5
gurman,1
gurmanski,2
guru,0
gusarstvo,-5
guverner,0
guvernerjev,-2
guvernerka,2
guvernerski,0
guvernerstvo,1
gvant,2
gverila,3
gverilski,0
gvin,2
gvineja,0
h,1
ha,-1
haaški,1
habilitacija,3
habitat,0
habsburški,3
hadronski,-5
haitijski,-2
haj,0
hajdina,2
hak,-1
hala,0
half,-3
halo,0
haloga,1
halogenski,2
haloški,4
ham,0
hamada,2
hamburger,0
hamburški,0
han,0
hangar,0
hangariranje,0
harač,0
harmoničen,2
harmonija,2
harmonizacija,1
harmonizirati,1
harpuna,3
harvardski,1
hasan,-3
hasek,-2
hašiš,-2
hauptman,-1
havana,3
hazard,-1
hazarder,-1
hazarderski,3
hčerin,1
hčerinski,-1
hčerka,-1
hči,0
he,0
heathrowski,2
hec,-1
hecati,-1
heej,0
heh,3
heinz,0
hej,0
heker,-2
hekerski,-4
hekerstvo,-2
hektar,0
hektarski,3
hektoliter,-1
hekto...,-1
helenski,-3
helij,2
helikopter,0
helikopterski,1
helios,0
helsinški,-2
hematologija,0
hemo...,-2
hendikepiran,-2
henrik,1
henry,0
hep,2
hepatitis,-2
herald,-1
herbarij,3
herbicid,-1
hercegovski,0
hermes,-2
herodež,5
heroin,-3
heroj,-2
hes,-1
het,3
heterocikličen,2
heterogen,0
heterogenost,0
hetero...,0
hi,2
hiba,-1
hibrid,1
hibriden,1
hidrat,2
hidravličen,0
hidroelektrarna,1
hidroenergetika,4
hidroenergetski,0
hidroenergija,2
hidrogeološki,0
hidroizolacija,2
hidrolizat,2
hidrološki,1
hidromehanski,0
hidrometeorološki,2
hidromontaža,1
hidrooprema,3
hidrotehnik,0
hidrotehnika,0
hidro...,1
hierarhičen,-2
hierarhija,-1
higiena,1
higieničen,0
higieničnost,0
higienski,1
hilarija,3
himalaja,0
himalajski,3
himera,0
himna,1
hin,-1
hinavščina,-2
hip,0
hiperizkoriščanje,-2
hipermarket,2
hiper...,1
hipodrom,-2
hipokampus,0
hipokrizija,0
hipoma,-2
hipoteka,-1
hipotekaren,-1
hipotetičen,0
hipoteza,1
hipo...,-1
hiranje,-3
hispanski,-4
historičen,2
hiša,0
hišen,0
hišica,0
hiška,0
hišniški,3
hit,0
hitenje,0
hiter,0
hiteti,1
hitrica,-2
hitrorastoč,1
hitrost,0
hitrosten,1
hitro...,0
hitr.,0
hiv,-1
hi-fi,2
hkraten,0
hkrati,0
hlačati,-2
hlače,0
hlačen,-2
hlad,3
hladen,0
hladilen,1
hladilnica,1
hladilnik,0
hladilniški,2
hladilo,0
hladiti,2
hladnokrven,-3
hlajenje,1
hlapec,0
hlastanje,-1
hlev,0
hlevski,-1
hlod,0
hlodovina,-1
hm,-1
hn,0
ho,2
hobotnica,0
hočki,0
hod,2
hoditi,0
hodnik,-1
hodža,0
hoja,1
hojnik,0
hokej,0
hokejist,1
hokejski,0
holandec,4
holding,0
holdingov,-1
holdinški,0
hole,3
holesterol,-2
holističen,2
hollywoodski,2
holmec,0
hologram,3
holokavst,-1
hom,0
homburg,-3
homeopat,0
homeopatija,2
homeopatinja,0
homeopatski,2
homofob,-2
homofoben,-5
homofobija,-1
homogen,1
homolog,-1
homologacija,2
homologen,3
homologiran,-4
homoseksualec,-2
homoseksualnost,0
homo...,-1
honda,-1
hongkongški,-2
hongkonški,-1
honorar,-1
honorarec,0
honoraren,0
honorirati,0
honved,-2
hon.,2
hop,-1
hora,-1
hora legalis,-1
horizont,0
horizontalen,1
hormon,0
hormonski,1
horoskop,0
hortikultura,0
horuk,-2
hospic,2
hospital,3
hospitalen,-1
hospitalizacija,-1
hospitalizirati,-1
hosta,0
hostel,0
hostesa,3
hostnik,0
hostov,3
hot,-1
hote,-3
hotel,1
hotelir,2
hotelirski,1
hotelirstvo,1
hotelski,1
hotenje,2
hoteti,0
house,-1
hr,0
hraber,3
hrabriti,0
hrabrost,2
hram,1
hramba,0
hramec,-2
hrana,0
hranilec,0
hranilen,0
hranilnica,1
hranilnik,2
hranilniški,0
hranilo,0
hraniti,0
hranjenje,-1
hrapav,-3
hrapavost,0
hrastar,0
hrastje,-2
hrastniški,-1
hrastovina,0
hraški,-1
hrbet,-1
hrbten,2
hrbtenica,0
hrbteničen,3
hrbtenjača,2
hren,0
hrenov,3
hrenovec,2
hrepeneti,2
hrib,1
hribina,2
hribovit,-1
hribovje,-2
hripavost,0
hromiti,-3
hrošč,-2
hrovat,0
hrovatin,0
hrpelje,2
hrt,2
hrumeti,-1
hrup,0
hrupen,0
hruševec,-5
hruševje,-5
hrušica,-2
hruška,-1
hruškov,-3
hrvaščina,-1
hrvaški,0
hrvat,0
hrvatski,0
hr.,0
hu,1
hud,-1
hudič,-1
hudobija,-1
hudodelec,-2
hudodelski,-4
hudodelstvo,1
hudomušen,-2
hudournik,-2
hudo...,-1
hui,4
hujskati,-2
hujšanje,1
hujšati,-5
huligan,0
human,0
humanist,-2
humanističen,0
humanistka,3
humanitaren,2
humanitarnost,5
humanitas,2
humor,2
humoren,1
humorist,3
humus,0
hunt,0
hupa,-2
huš,0
hvala,0
hvaležen,1
hvaležnost,2
hvalisanje,-2
hvaliti,1
hvaljenje,2
i,0
iba,-2
iberski,-2
ica,0
id,0
ida,0
ideal,0
idealen,1
idealistka,0
idealizirati,4
idealno,1
ideja,1
idejen,1
identičen,-1
identificiran,0
identificiranje,3
identificirati,-1
identifikacija,1
identifikacijski,-1
identiteta,0
ideolog,0
ideologija,0
ideologizem,-1
ideološki,0
idiličen,0
idiosinkratičen,-1
idiot,-2
idiotizem,0
idol,4
idrijski,1
iftar,0
igla,-2
iglavec,0
igličev,0
iglu,-1
ignoranca,-2
ignorantski,0
ignoriranje,-2
ignorirati,-1
igo,-1
igor,0
igra,1
igrača,1
igračka,0
igračkanje,-2
igralec,1
igralen,0
igralka,2
igralnica,0
igralničar,-1
igralniški,0
igralništvo,0
igralo,3
igralski,0
igranje,0
igrati,0
igrc,-1
igrica,0
igrišče,1
igriški,-5
igriv,3
igrivost,2
ih,-1
ihanski,3
ihta,-2
iii,0
ikona,0
ikonografija,-5
ikt,2
il,0
ila,-2
ilegalen,-2
ilirika,0
ilirski,0
ilirskobistriški,1
ilo,-1
ilustracija,-3
ilustratorka,3
ilustrirati,-2
iluzija,-1
iluzoren,0
imago,3
ime,0
imenik,1
imeniten,1
imenovalec,0
imenovalnik,-2
imenovanje,0
imenovati,0
imenski,0
imeti,0
imetje,0
imetnica,0
imetnik,0
imetništvo,1
imidž,1
imigracija,-3
imigracijski,3
imigrant,-5
imigrantski,-5
imitator,-2
imovina,-1
imperativ,-1
imperial,2
imperij,-1
implementacija,0
implementacijski,1
implementiran,2
implementirati,0
implicirati,-2
impliciten,-1
impotenten,-2
impozanten,-2
impregniranje,4
impresionist,3
impresiven,1
improviziranje,-1
improvizirati,1
impulz,1
impulziven,1
imun,0
imuniteta,-1
imunizacija,0
imunogen,2
imunolog,3
imunologija,2
imunomodulator,0
imunopatologija,3
imunost,2
imunski,-1
im...,0
in,0
ina,1
inačica,-2
inavguracija,3
inavguracijski,0
incest,0
incesten,-5
incidenca,-3
incident,0
incidenten,0
inčen,0
indeks,0
indeksacija,0
indeksen,-1
indeksirati,-1
independent,0
indic,-1
indiferenten,-1
indijanski,-1
indijec,1
indijski,1
indikacija,0
indikativen,2
indikator,1
individualen,1
individualizem,-3
individualizirati,0
indoevropski,3
indonezijski,1
indukcijski,-1
induktiven,0
industrialec,2
industrializacija,3
industrializirati,-2
industrija,0
industrijski,0
ind.,-1
ineks,-3
inercija,-1
inercijski,3
inerten,-1
infarkt,-3
infekcija,0
infekcijski,-3
infekciozen,-2
infektolog,0
infektologinja,0
inferioren,-1
inflacija,-1
inflacijski,0
influenca,-4
info,0
informacija,0
informacijski,0
informacijskotehnološki,2
informatik,1
informatika,1
informativen,0
informatizacija,0
informatiziran,-1
informator,0
informatorjev,-2
informiranje,1
informiranost,0
informirati,1
inform.,4
infra,0
infrardeč,3
infrastruktura,0
infrastrukturen,1
infra...,0
infuzija,1
inf.,0
ingerenca,0
ing.,0
inhibitor,1
ini,0
iniciativa,0
iniciativen,-1
injekcija,0
injekcijski,4
inkontinenca,3
inkriminirati,0
inkubator,2
inkubiran,3
inkvizicija,-1
ino,0
inovacija,2
inovacijski,3
inovativen,2
inovativnost,2
inovator,1
inovatorstvo,2
inovirati,0
ino...,2
input,-2
inp.,3
insajder,-2
insajderstvo,-2
insekt,-2
insekticid,-2
insinuacija,-2
insolvenca,-2
insolvenčen,-1
insolventen,-1
insolventnost,-1
inspiracija,3
instanca,0
instant,0
instinkt,2
institucija,0
institucionalen,0
institucionalizirati,-1
institut,1
instrument,0
instrumentacijski,3
instrumentalen,-1
instrumentarij,0
inšpekcija,0
inšpekcijski,0
inšpektor,-1
inšpektorat,0
inšpektorica,-1
inšpektorski,2
inštalacija,1
inštalirati,2
inštitucija,0
inštitut,0
inštruktor,1
inštrument,0
int,1
intarzija,-2
integracija,0
integral,-2
integralen,1
integrator,2
integriranost,-1
integrirati,1
integriteta,0
intelekt,-2
intelektualec,0
intelektualen,0
inteligenca,0
inteligenten,1
intenziteta,2
intenziven,1
intenziviranje,1
intenzivirati,-2
intenzivist,0
intenzivnost,0
inter,-1
interaktiven,2
interaktivnost,2
interdisciplinaren,3
interen,0
interes,0
interesen,0
interesent,1
interkalaren,0
internacionala,0
internacionalizacija,1
internacionalizirati,2
internet,1
interneten,0
internističen,-2
interoperabilen,3
interpelacija,0
interpelacijski,-2
interpelirati,0
interpolacija,-1
interpretacija,0
interpretativen,-2
interpretirati,-1
interval,0
intervencija,-1
intervencijski,1
intervencionističen,0
intervenient,0
intervenirati,-2
intervent,-5
interventen,0
intervju,0
inter...,0
intima,0
intimen,-1
intra,4
intravenski,-3
intra...,0
intriga,0
intro,0
intubacija,-1
intuicija,2
intuitiven,-1
int.,2
invalid,-1
invaliden,0
invalidnina,3
invalidnost,0
invalidski,0
invazija,-1
invaziven,1
invencija,0
inventar,-1
inventivnost,3
inventura,0
inventuren,-2
inverter,3
investicija,0
investicijski,0
investiran,1
investiranje,1
investirati,1
investitor,0
investitorstvo,-1
investor,-3
inv.,1
inženir,0
inženiring,0
inženirka,1
inženirski,0
inženirstvo,2
in natura,3
in...,0
ionski,2
ip,1
ipek,2
ipn.,0
ipod,0
ipodov,4
ipsilon,-2
ip.,0
ir,2
ira,0
iranski,-1
iraški,1
irelevanten,0
irhast,4
iris,2
ironičen,-1
ironija,-1
irski,0
ishemičen,0
iskalec,0
iskalen,1
iskalka,-3
iskalnik,2
iskanje,0
iskanost,0
iskati,0
iskra,0
iskren,0
iskrenje,-2
iskrica,3
iskrin,2
iskriti,-5
islam,-1
islamski,-1
islandec,0
islandski,-1
isti,0
istočasen,-1
istoimenski,0
istospolen,0
istovetenje,3
istovetnost,1
istovrsten,0
isto...,0
istran,0
istrijanski,0
istrski,0
iški,-2
it,1
itak,-1
italia,1
italijan,0
italijaniziranje,-2
italijanka,-2
italijanski,0
italijanščina,2
italij.,0
ital.,0
ita.,0
iti,0
it.,0
iva,-1
ivan,0
ivanji,2
ivanjka,1
ivanov,-2
iveren,1
iz,0
izbira,1
izbiranje,0
izbirati,1
izbirčen,2
izbiren,1
izbiti,-2
izbočiti,-2
izbojevati,0
izboljšanje,1
izboljšati,1
izboljšava,2
izboljševanje,1
izboljševati,1
izbor,1
izboren,2
izboriti,1
izbran,1
izbranec,-1
izbranka,3
izbrati,1
izbris,-1
izbrisati,0
izbrisen,-1
izbrskati,0
izbruh,-1
izbruhniti,-2
izcedek,0
izčesek,-2
izčistiti,0
izčrpajoč,-1
izčrpanje,-1
izčrpanost,-3
izčrpati,-1
izčrpavanje,-1
izčrpavati,-1
izčrpen,2
izdaja,0
izdajalec,0
izdajanje,0
izdajatelj,0
izdajateljev,0
izdajateljica,2
izdajati,0
izdatek,0
izdaten,0
izdati,0
izdatkoven,3
izdelati,1
izdelava,1
izdelaven,0
izdelčen,2
izdelek,1
izdelovalec,0
izdelovanje,2
izdelovati,1
izdihljaj,0
izdreti,-2
izd.,0
izenačenje,-3
izenačevanje,1
izenačitev,1
izenačiti,1
izginiti,-2
izginjanje,-2
izginjati,-1
izginotje,-1
izglasovanje,0
izglasovati,0
izgled,0
izgledati,0
izgnanec,0
izgnanstvo,-1
izgnati,-2
izgon,0
izgoniti,0
izgorel,-2
izgorelost,-2
izgorevanje,3
izgorevati,-2
izgovarjanje,-2
izgovarjati,-2
izgovor,-1
izgovoriti,0
izgovorljiv,-1
izgraditi,-2
izgradnja,1
izgred,-1
izgrednik,-1
izgubarski,-3
izgubar,-2
izgubaški,-3
izguba,-2
izgubiti,-2
izgubljanje,-2
izgubljati,-1
izhajanje,2
izhajati,0
izhlapeti,-3
izhlapevati,-2
izhod,0
izhoden,1
izhodišče,0
izhodiščen,0
izid,0
izigranost,-2
izigrati,-1
izigravanje,-2
izigravati,-1
iziti,1
izjaloviti,0
izjasnitev,0
izjasniti,0
izjasnjevanje,-2
izjasnjevati,-2
izjava,0
izjaviti,0
izjavljati,-1
izjema,0
izjemen,1
izjemnost,0
izjemoma,0
izkašljati,-3
izkašljevanje,1
izkaz,0
izkazati,0
izkaznica,0
izkazovanje,-1
izkazovati,0
izklapljanje,1
izklapljati,0
izklicen,0
izključen,-1
izključevalen,-1
izključevanje,-2
izključevati,0
izključitev,0
izključiti,0
izklop,-2
izklopiti,-1
izkop,0
izkopati,0
izkopavanje,1
izkopavati,3
izkopen,0
izkoreniniti,1
izkoreninjenje,3
izkoristek,1
izkoristiti,1
izkoriščanje,0
izkoriščati,0
izkoriščenje,0
izkoriščenost,0
izkoriščevalski,-3
izkristalizirati,2
izkriviti,0
izkrivljanje,0
izkrivljati,-1
izkrvaveti,-4
izkupiček,0
izkusiti,-1
izkušenost,2
izkušen,1
izkušnja,1
izleči,3
izlet,1
izletnik,0
izletniški,3
izliti,-2
izlitje,-2
izliv,2
izločanje,2
izločati,-1
izločen,-1
izločevalnik,2
izločevanje,-3
izločitev,0
izločiti,-1
izločitven,-1
izlov,-1
izložba,-3
izluščiti,-1
izmakniti,-1
izmazati,-2
izmed,0
izmena,0
izmena,0
izmenjati,1
izmenjava,1
izmenjavanje,-2
izmenjavati,0
izmenjevalec,3
izmenjevanje,3
izmenjevati,0
izmenoma,-1
izmenski,-2
izmera,1
izmeriti,-1
izmerljiv,-3
izmet,2
izmikanje,-5
izmikati,-1
izmisliti,-1
izmišljanje,-2
izmišljen,-1
izmišljevati,-2
izmišljotina,-1
izmotati,-5
izmuzniti,0
iznad,3
iznajdba,0
iznajdljivost,-2
iznajdljivost,-2
iznajdljiv,0
iznesti,0
izneveriti,0
izničenje,-1
izničevati,-2
izničiti,0
iznos,0
izobesiti,1
izobešanje,3
izobilje,2
izoblikovati,1
izobrazba,0
izobrazben,-1
izobraziti,2
izobražen,0
izobraženec,3
izobraženost,-1
izobraževalen,1
izobraževanje,1
izobraževati,1
izogib,-1
izogibanje,0
izogibati,0
izognitev,-3
izogniti,0
izolacija,1
izolacijski,2
izolacionizem,2
izolativnost,2
izolator,0
izoliranost,0
izolirati,0
izoliren,0
izolski,0
izostajanje,0
izostanek,-2
izostati,0
izostritev,2
izo...,0
izpad,-1
izpadanje,3
izpadati,0
izpadel,-2
izparilnik,0
izpasti,-1
izpeljanka,-2
izpeljati,0
izpeljava,1
izpeljiv,-2
izpeti,-1
izpih,3
izpiliti,1
izpiranje,0
izpirati,-2
izpis,1
izpisati,1
izpisek,-1
izpisovati,3
izpit,0
izpiten,0
izplačati,0
izplačevalec,-1
izplačevanje,0
izplačevati,-1
izplačilen,-1
izplačilo,0
izplavati,0
izplen,0
izpljuniti,-3
izpluti,-1
izpodbijan,-1
izpodbijanje,-1
izpodbijati,-1
izpodbiti,-1
izpodbiti,-1
izpodbojen,-1
izpodbojnost,-1
izpodjedati,-3
izpodjedati,-3
izpodriniti,0
izpodrivati,0
izpodrivati,0
izpod,0
izpod...,-1
izpogajan,-1
izpogajanje,0
izpogajati,1
izpolnitev,0
izpolniti,0
izpolnjenje,-2
izpolnjevalka,0
izpolnjevanje,0
izpolnjevati,0
izpopolnitev,2
izpopolniti,3
izpopolnjevalen,3
izpopolnjevanje,0
izposlovati,0
izposoditi,0
izposoja,2
izposojanje,-1
izposojati,-1
izposojevalec,2
izpostava,0
izpostavitev,0
izpostaviti,0
izpostavljanje,1
izpostavljati,0
izpostavljenost,-1
izpoved,-2
izpovedba,0
izpovedovanje,0
izpraševati,0
izprati,0
izpraven,3
izpraznitev,0
izprazniti,0
izpraznjenje,0
izpreči,3
izpred,-1
izprsiti,0
izpuh,-2
izpuhteti,-2
izpuliti,2
izpust,1
izpustitev,0
izpustiti,0
izpuščaj,-3
izpuščati,-1
izpušen,0
izraba,0
izrabiti,1
izrabljanje,-3
izrabljati,0
izračun,0
izračunati,0
izračunavanje,-1
izračunavati,1
izraelski,0
izravnalen,0
izravnati,0
izravnavati,2
izravnava,0
izraz,0
izrazit,0
izraziti,0
izrazitost,-2
izražanje,-1
izražati,0
izrecen,-1
izrecno,0
izrečen,-1
izreči,0
izreden,0
izrek,0
izrekanje,1
izrekati,0
izrezati,3
izrezovati,3
izriniti,1
izrinjati,-1
izrinjenje,0
izris,4
izrisati,3
izrivanje,-1
izrivati,-2
izročati,-2
izročilen,3
izročilo,2
izročitev,-1
izročiti,0
izsek,0
izsekavanje,0
izselitev,-2
izseliti,-1
izseljenec,-2
izseljevati,3
izsiliti,-2
izsiljevalec,-5
izsiljevalski,-2
izsiljevanje,-1
izsiljevati,-1
izskok,4
izsledek,0
izsleditev,0
izslediti,-1
izstavitev,-1
izstaviti,-1
izstavljanje,-1
izstavljati,-1
izstavljen,0
izstop,-1
izstopanje,-1
izstopati,0
izstopen,0
izstopiti,-1
izstrelek,0
izstrelišče,2
izstrelitev,3
izstreliti,2
izstreljevanje,0
izstreljevati,1
izšolati,0
izteči,0
iztek,0
iztekanje,-3
iztekati,-1
iztekel,0
izterjan,-1
izterjanje,-2
izterjatev,-3
izterjati,0
izterjava,0
izterljiv,-1
iztiriti,-3
iztirjenje,-5
iztiskanje,-1
iztiskati,1
iztisnitev,-1
iztisniti,0
iztisnjenje,-1
iztočnica,1
iztok,0
iztožitev,-2
iztožiti,-2
iztožljiv,-1
iztožljivost,-2
iztrebek,-5
iztrebiti,-1
iztrgati,4
iztrošenost,3
iztržek,-1
iztržen,0
iztržiti,0
iztržljiv,-2
izučiti,0
izum,1
izumiranje,-2
izumitelj,2
izumiti,4
izumljati,2
izvabiti,3
izvabljati,0
izvajalčev,-1
izvajalec,0
izvajalka,1
izvajalski,0
izvajanje,0
izvajati,0
izvažalen,-2
izvažanje,1
izvažati,1
izvedba,0
izvedben,0
izveden,0
izvedenec,0
izvedenka,0
izvedenkin,-2
izvedenski,-1
izvedenstvo,-2
izvedeti,0
izvedljiv,0
izvedljivost,1
izven,0
izvenbilančen,-3
izvenhotelski,-1
izvenkrmen,3
izvensoden,0
izventržen,3
izvenzakonski,0
izven...,0
izvesti,0
izvid,1
izvijač,3
izvijati,2
izvir,0
izvirati,0
izviren,0
izvirnik,0
izvirnost,2
izviseti,-2
izviti,0
izvleček,0
izvleči,1
izvod,1
izvodeneti,-2
izvolitev,0
izvoliti,1
izvoliti,1
izvoljivost,0
izvor,0
izvoren,-2
izvorno,0
izvoz,0
izvozen,0
izvoziti,1
izvoznica,0
izvoznik,0
izvrsten,4
izvršba,-1
izvršen,0
izvrševalka,0
izvrševanje,0
izvrševati,0
izvršilen,0
izvršitelj,-1
izvršitev,-1
izvršiti,-1
izvršitven,-2
izvršljiv,0
izvršljivost,0
izvrtati,3
izvzem,0
izvzemati,2
izvzemši,1
izvzeti,0
izvzetje,-1
izvzetost,-2
izza,0
izziv,1
izzivalec,1
izzivalen,3
izzivanje,-1
izzivati,1
izzvati,0
izzveneti,-1
izzvenevati,0
izžemati,-2
izžeti,0
izžiganje,5
izživljati,-3
izžrebati,0
iz...,0
ižanski,3
i...,0
j,1
ja,0
jabolčen,1
jabolko,-1
jačiti,0
jade,2
jadikovati,0
jadralec,2
jadralen,1
jadralski,2
jadran,0
jadranje,1
jadranka,0
jadranski,0
jadrati,0
jadrnica,1
jadro,2
jagenjček,3
jager,0
jagnje,-1
jagnjetina,2
jagoda,-2
jagodje,0
jagodnik,-2
jagodnikov,0
jaguar,2
jahač,0
jahalen,3
jahanje,3
jahati,0
jahta,1
jajce,-1
jajček,2
jaka,0
jakelj,0
jakna,1
jakob,0
jakost,0
jakov,5
jakovina,-1
jakša,-1
jalen,2
jalov,-1
