beseda,sentiment
arterijski,-2
artikel,1
artiški,0
artritis,-5
artroplastika,-1
arzenik,-1
as,0
asanacija,1
asfalt,1
asfalten,0
asfalterski,2
asfaltiran,1
asfaltirati,1
asignacija,-3
asignacijski,0
asignirati,2
asimetričen,-2
asimetrija,2
asimilacijski,-2
asistenca,0
asistent,0
asistentka,0
asistirati,-2
asiški,3
ask,3
askar,3
asketski,0
asociacija,4
asociirati,3
asortiman,2
asortiment,2
aspekt,-1
aspirin,0
aster,3
astma,-1
astmatik,-2
aston,1
astra,1
astronavtka,3
astronom,1
astronomski,0
astro...,0
ata,0
atak,-1
ataka,0
ataše,-1
ate,-3
ateist,0
ateističen,-1
atek,0
atenski,-2
atentat,-1
ati,-2
atipičen,0
atlantik,0
atlantski,-2
atlet,1
atletika,-2
atletinja,0
atletski,1
atmosfera,-1
atmosferski,-2
atom,2
atomski,0
atoris,0
atorvastatin,2
atrakcija,3
atraktiven,1
atraktivnost,2
atrazin,-2
atrij,2
atrium,0
au,4
audi,1
audijev,-1
audio,-1
audit,0
aurora,0
av,-2
avans,0
avant,0
avantgarda,0
avantgarden,2
avantura,3
avanturist,3
avanturističen,3
avčin,0
avdienca,3
avdiofil,0
avdiofilski,1
avdiosistem,2
avdiovizualen,0
avdio...,1
avditorij,3
ave,3
avenija,1
aver,0
avgust,0
avgusta,0
avgustovski,0
avg.,-1
aviacija,0
avion,3
aviopromet,2
avio...,1
avkcija,1
avkcijski,2
avla,2
avra,1
avsenik,0
avstralec,2
avstralski,1
avstrijski,0
avstroogrski,0
avstro-,0
avstro...,0
avstr.,0
avt,1
avtentičen,1
avtentičnost,-1
avto,0
avtobus,0
avtobusen,1
avtocesta,0
avtocesten,-1
avtocisterna,-2
avtodom,3
avtodvigalo,2
avtoelektrika,0
avtogen,0
avtogol,-1
avtohiša,0
avtohton,2
avtoindustrija,2
avtokamp,2
avtoklub,-1
avtomat,1
avtomatičen,0
avtomatizacija,1
avtomatizem,0
avtomatizirati,0
avtomatski,1
avtomehaničen,2
avtomehanik,1
avtomobil,0
avtomobilček,3
avtomobilist,3
avtomobilističen,-1
avtomobilizem,0
avtomobilski,0
avtomotoklub,-2
avtonomen,0
avtonomija,1
avtonomnost,-1
avtopilot,-2
avtoplašč,2
avtoplin,1
avtopodjetje,-3
avtoportal,2
avtopralnica,3
avtoprevoz,-2
avtoprevoznik,-1
avtoprevozniški,0
avtoprevozništvo,0
avtor,0
avtoradio,3
avtoreparaturen,3
avtorica,1
avtoritaren,0
avtoriteta,0
avtorizacija,0
avtorizirati,-2
avtorski,0
avtorstvo,2
avtosalon,2
avtoservis,-2
avtošola,-2
avtotransport,-1
avtovleka,2
avto-moto,4
avto...,0
az,1
azbest,-3
azbesten,-1
azijski,0
azil,-1
azilen,0
azimut,-1
azteški,0
ažuren,2
ažuriran,0
ažurirati,1
ažurno,0
ažurnost,-1
a la,2
a la carte,2
a priori,-2
a...,0
b,0
ba,0
baba,-1
babica,1
babiški,0
babnik,0
baby,0
bacati,3
back,-1
bačka,0
badminton,4
bagatelen,-1
bagdad,2
bager,-1
bagerist,-3
bah,-1
bahati,3
bahav,-1
bajc,0
bajde,0
baje,0
bajen,0
bajer,0
bajram,0
bajramski,2
bajs,-1
bajsa,2
bajt,3
bajta,2
bak,1
bakalar,0
baker,0
bakir,-2
bakla,0
bakovnik,0
bakren,-1
bakriti,0
bakterija,-2
bakterijski,-5
bakteriološki,0
bala,-1
balast,-1
balasten,0
balažič,0
balažičev,1
balet,2
bali,0
balijski,3
balinanje,3
balinar,3
balinarski,2
balinišče,3
balkanec,3
balkanski,0
balkon,0
balkonski,3
balon,-1
balonar,0
balonarski,-1
balonček,-1
baltiški,0
baltski,0
balzam,3
balzamer,0
ban,0
banalen,-3
banana,2
banca,0
bančen,0
bančnica,3
bančnik,-1
bančniški,0
bančništvo,0
band,2
banda,0
bang,0
bangov,-1
banja,1
banjaluški,1
bank,0
banka,0
bankin,0
bankina,0
bankir,0
banknoten,2
banko,0
bankokracija,-2
bankomat,0
bankovec,1
bankrot,-2
bankrotirati,-1
banov,-5
banovec,0
banski,0
bar,1
barak,-1
baraka,0
barakarski,0
barantanje,-1
barantati,-1
barbar,-2
barbara,0
barbarski,-3
barbika,0
barcelonski,4
barčica,1
bari,3
barica,0
barikada,-2
baritonist,3
barjanski,0
barje,0
barka,0
barometer,0
baron,1
baronica,-2
barski,3
bart,1
barva,1
barvanje,0
barvast,-2
barvati,3
barven,2
barvilo,-1
barvit,3
barvitost,2
barža,0
bas,-1
baseball,0
baselski,0
basist,3
baški,3
bašta,1
bat,2
bataljon,1
bataljonski,0
baterija,2
baterijski,1
bati,-1
batič,0
batina,0
batistov,-3
bati,-1
bau,0
bav,2
bavarski,1
baza,0
bazen,0
bazenski,1
bazičen,0
bazirati,1
